-1.1859e-03,1.3787e-03,1.0000e-02,8.1729e-01,7.3997e-01,7.5474e-01,3.0000e-01
-4.9960e-04,1.3015e-03,3.0000e-02,8.3344e-01,7.4395e-01,7.7389e-01,3.0000e-01
5.7267e-04,7.0107e-04,1.0000e-04,8.6485e-01,7.7433e-01,7.8077e-01,3.0000e-01
8.1164e-04,6.9801e-04,1.0000e-06,8.6325e-01,7.4468e-01,7.6709e-01,3.0000e-01
-3.5493e-04,1.0589e-03,7.0000e-04,8.4333e-01,7.5663e-01,7.3769e-01,3.0000e-01
7.1117e-04,6.7060e-04,1.0000e-05,8.7021e-01,7.7632e-01,7.7867e-01,3.0000e-01
-3.2831e-04,1.0967e-03,1.0000e-03,8.3579e-01,7.5696e-01,7.2524e-01,3.0000e-01
-1.2694e-03,1.2582e-03,6.0000e-03,8.1985e-01,7.3574e-01,7.4848e-01,3.0000e-01
3.5037e-04,9.5947e-04,7.0000e-02,8.5026e-01,7.3201e-01,7.7864e-01,3.0000e-01
6.3486e-04,6.8564e-04,8.0000e-05,8.6877e-01,7.7557e-01,7.8107e-01,3.0000e-01
2.9285e-04,9.7989e-04,5.0000e-02,8.5102e-01,7.4003e-01,7.6066e-01,3.0000e-01
8.4655e-03,7.9069e-03,2.0000e-01,6.5865e-01,6.9158e-01,6.9190e-01,3.0000e-01
6.6420e-04,6.7698e-04,5.0000e-05,8.6923e-01,7.7958e-01,7.8224e-01,3.0000e-01
4.7064e-04,8.7744e-04,1.0000e-01,8.5473e-01,7.3267e-01,7.8095e-01,3.0000e-01
1.2126e-02,1.1549e-02,8.0000e-01,4.9997e-01,3.5776e-01,3.6137e-01,3.0000e-01
7.2595e-04,6.7116e-04,5.0000e-06,8.6979e-01,7.6932e-01,7.7960e-01,3.0000e-01
-1.3201e-03,1.3395e-03,9.0000e-03,8.1400e-01,7.3738e-01,7.4514e-01,3.0000e-01
-7.6639e-04,1.1679e-03,3.0000e-03,8.3061e-01,7.5208e-01,7.6111e-01,3.0000e-01
1.2125e-02,1.1559e-02,5.0000e-01,5.0002e-01,3.5775e-01,3.6131e-01,3.0000e-01
8.9461e-05,8.9250e-04,3.0000e-04,8.5410e-01,7.6313e-01,7.6174e-01,3.0000e-01
