8.9901e-04,9.2996e-04,1.0000e-01,8.8140e-01,8.0110e-01,8.0049e-01,9.0000e-01,130,2,8.8600e-01
8.1577e-04,9.6377e-04,1.0000e-01,8.7982e-01,8.1217e-01,8.0586e-01,9.0000e-01,500,2,8.9910e-01
9.1863e-04,9.3298e-04,1.0000e-01,8.8031e-01,7.9829e-01,7.9864e-01,9.0000e-01,60,2,8.8345e-01
1.0131e-03,9.9539e-04,1.0000e-01,8.6471e-01,7.8103e-01,7.8107e-01,9.0000e-01,5,2,8.6564e-01
9.2649e-04,9.3092e-04,1.0000e-01,8.8031e-01,7.9769e-01,7.9713e-01,9.0000e-01,50,2,8.8283e-01
9.1854e-04,9.2982e-04,1.0000e-01,8.8076e-01,7.9890e-01,7.9867e-01,9.0000e-01,70,2,8.8371e-01
9.0468e-04,9.3096e-04,1.0000e-01,8.8102e-01,8.0040e-01,8.0001e-01,9.0000e-01,100,2,8.8528e-01
9.0075e-04,9.2841e-04,1.0000e-01,8.8164e-01,8.0118e-01,8.0105e-01,9.0000e-01,140,2,8.8602e-01
9.2391e-04,9.3518e-04,1.0000e-01,8.8015e-01,7.9806e-01,7.9723e-01,9.0000e-01,45,2,8.8275e-01
9.2520e-04,9.3627e-04,1.0000e-01,8.7937e-01,7.9812e-01,7.9741e-01,9.0000e-01,40,2,8.8219e-01
9.7430e-04,9.7123e-04,1.0000e-01,8.7100e-01,7.8860e-01,7.8627e-01,9.0000e-01,10,2,8.7300e-01
8.8670e-04,9.2962e-04,1.0000e-01,8.8191e-01,8.0337e-01,8.0197e-01,9.0000e-01,200,2,8.8778e-01
8.9575e-04,9.3035e-04,1.0000e-01,8.8155e-01,8.0192e-01,8.0003e-01,9.0000e-01,170,2,8.8687e-01
9.1237e-04,9.3089e-04,1.0000e-01,8.8096e-01,7.9972e-01,7.9937e-01,9.0000e-01,90,2,8.8468e-01
8.9856e-04,9.3025e-04,1.0000e-01,8.8156e-01,8.0120e-01,8.0010e-01,9.0000e-01,110,2,8.8587e-01
8.8072e-04,9.2945e-04,1.0000e-01,8.8227e-01,8.0396e-01,8.0254e-01,9.0000e-01,270,2,8.8853e-01
9.5083e-04,9.5265e-04,1.0000e-01,8.7519e-01,7.9334e-01,7.9092e-01,9.0000e-01,20,2,8.7728e-01
9.1252e-04,9.3219e-04,1.0000e-01,8.8107e-01,8.0006e-01,7.9934e-01,9.0000e-01,80,2,8.8458e-01
9.3624e-04,9.3995e-04,1.0000e-01,8.7821e-01,7.9558e-01,7.9456e-01,9.0000e-01,35,2,8.8047e-01
8.8118e-04,9.2992e-04,1.0000e-01,8.8220e-01,8.0421e-01,8.0299e-01,9.0000e-01,250,2,8.8877e-01
9.4479e-04,9.4680e-04,1.0000e-01,8.7667e-01,7.9372e-01,7.9200e-01,9.0000e-01,25,2,8.7854e-01
8.7370e-04,9.3092e-04,1.0000e-01,8.8231e-01,8.0516e-01,8.0333e-01,9.0000e-01,300,2,8.8962e-01
9.5657e-04,9.5882e-04,1.0000e-01,8.7346e-01,7.9126e-01,7.8916e-01,9.0000e-01,15,2,8.7496e-01
8.8837e-04,9.3005e-04,1.0000e-01,8.8154e-01,8.0252e-01,8.0121e-01,9.0000e-01,150,2,8.8716e-01
9.3401e-04,9.3808e-04,1.0000e-01,8.7860e-01,7.9574e-01,7.9403e-01,9.0000e-01,30,2,8.8072e-01
9.0259e-04,9.3018e-04,1.0000e-01,8.8142e-01,8.0105e-01,7.9961e-01,9.0000e-01,120,2,8.8571e-01
