8.4996e-04,8.4565e-04,1.0000e-01,8.8347e-01,7.9935e-01,8.0372e-01,9.0000e-01,40,7,8.8338e-01
8.4097e-04,8.4485e-04,1.0000e-01,8.8406e-01,8.0071e-01,8.0142e-01,9.0000e-01,40,3,8.8443e-01
8.4533e-04,8.4431e-04,1.0000e-01,8.8403e-01,8.0023e-01,8.0112e-01,9.0000e-01,40,4,8.8406e-01
8.4517e-04,8.4539e-04,1.0000e-01,8.8360e-01,8.0047e-01,8.0365e-01,9.0000e-01,40,6,8.8405e-01
8.5175e-04,8.4538e-04,1.0000e-01,8.8329e-01,7.9845e-01,8.0118e-01,9.0000e-01,40,10,8.8343e-01
8.4850e-04,8.4436e-04,1.0000e-01,8.8396e-01,7.9957e-01,8.0380e-01,9.0000e-01,40,9,8.8385e-01
8.4333e-04,8.4884e-04,1.0000e-01,8.8276e-01,8.0126e-01,8.0223e-01,9.0000e-01,40,1,8.8286e-01
8.4318e-04,8.4329e-04,1.0000e-01,8.8370e-01,8.0142e-01,8.0234e-01,9.0000e-01,40,2,8.8385e-01
8.4436e-04,8.4326e-04,1.0000e-01,8.8422e-01,8.0022e-01,8.0296e-01,9.0000e-01,40,5,8.8438e-01
8.4811e-04,8.4476e-04,1.0000e-01,8.8354e-01,7.9966e-01,8.0309e-01,9.0000e-01,40,8,8.8366e-01
